pageType,Url
"Forum - Announcements","https://breachforums.st/Thread-Telegram-Shoutbox-Update"
"Forum - Introductions","https://breachforums.st/Thread-Hello--154520"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-BF-url-redirect"
"Forum - Introductions","https://breachforums.st/Thread-how-to-pentest-an-IoT-Web-application"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-Counter-For-Social-Handle-Changes"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-How-did-we-troll-FBI"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Enable-Reply-to-view-in-the-Other-Leaks-Section"
"Forum - Announcements","https://breachforums.st/Thread-New-escrow-update"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Limit-dox-Thread"
"Forum - Announcements","https://breachforums.st/Thread-RIP-Jacuzzi"
"Forum - World News","https://breachforums.st/Thread-United-Health-shooter-is-just-an-Ivy-league-kid"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Onsite-credit-gambling-for-fun"
"Forum - World News","https://breachforums.st/Thread-Situation-in-Syria-Do-you-think-Assad-will-succeed-in-resisting"
"Forum - Technology News","https://breachforums.st/Thread-NO-LOGS-VPN-Best-VPN-for-clear-and-dark-web"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-BUG-PoW-is-not-working-on-Tor-browser"
"Forum - Technology News","https://breachforums.st/Thread-Campaign-abusing-HubSpot-targets-20-000-Microsoft-Azure-accounts"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Bug-Timer-never-ends-You-have-reached-the-maximum-of-5-over-the-last-15-minutes"
"Forum - Technology News","https://breachforums.st/Thread-Arrest-of-LockBit-Developer-Rostislav-Panev"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Sellers-Thread-Ranking-in-Seller-Sections"
"Forum - Technology News","https://breachforums.st/Thread-Android-malware-found-on-Amazon-Appstore-disguised-as-health-app"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-Subway-Surfers"
"Forum - Technology News","https://breachforums.st/Thread-Internet-Archive-hacked"
"Forum - The Lounge","https://breachforums.st/Thread-IMPORTANT-READ-Forum-Banner-Default-Profile-Picture-change"
"Forum - Technology News","https://breachforums.st/Thread-Israel-is-preparing-to-extradite-programmer-Rostislav-to-the-United-States"
"Forum - The Lounge","https://breachforums.st/Thread-NEW-USERS-READ-how-to-avoid-scammers-in-the-marketplace"
"Forum - Technology News","https://breachforums.st/Thread-Ultralytics-Hit-by-Supply-Chain-Attack-Through-GitHub-Branch-Name-Injection"
"Forum - The Lounge","https://breachforums.st/Thread-IMPORTANT-READ-Forum-Banner-Default-Profile-Picture-change"
"Forum - Technology News","https://breachforums.st/Thread-Blue-Yonder-ransomware-attack-disrupts-grocery-store-supply-chain"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-ADD-A-REAL-PRIVACY-POLICY-TELL-US-WHAT-YOU-ARE-LOGGING"
"Forum - Announcements","https://breachforums.st/Thread-Another-day-another-domain-suspension"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Sticky-Marketplace-threads"
"Forum - Announcements","https://breachforums.st/Thread-Quality-of-Life-Updates"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Custom-profile-wrap"
"Forum - World News","https://breachforums.st/Thread-Round-2-Change-Healthcare-Targeted-in-Second-Ransomware-Attack"
"Forum - Announcements","https://breachforums.st/Thread-Clarification-about-partnerships-with-our-forum"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Festive-BreachForums-Logos-and-Themes"
"Forum - World News","https://breachforums.st/Thread-Trump-effect-on-stock-market-will-last-until-when"
"Forum - Announcements","https://breachforums.st/Thread-Downtime-Update--79856"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Better-Scraper-Detection-and-Suggestions"
